"idcliente","codcliente","codnap","time"
1,8389,8,"2018-08-28 19:58:01"
2,8705,3,"2018-08-28 19:58:01"
3,9705,15,"2018-08-28 19:58:01"
4,5021,2,"2018-08-28 19:58:01"
5,6244,5,"2018-08-28 19:58:01"
6,2500,18,"2018-08-28 19:58:01"
7,5356,4,"2018-08-28 19:58:01"
8,242,11,"2018-08-28 19:58:01"
9,3999,2,"2018-08-28 19:58:01"
10,11039,3,"2018-08-28 19:58:01"
11,7330,29,"2018-08-28 19:58:01"
12,6151,24,"2018-08-28 19:58:01"
13,7089,20,"2018-08-28 19:58:01"
14,2842,29,"2018-08-28 19:58:01"
15,6894,5,"2018-08-28 19:58:01"
16,5343,22,"2018-08-28 19:58:01"
17,12698,29,"2018-08-28 19:58:01"
18,4601,30,"2018-08-28 19:58:01"
19,4800,1,"2018-08-28 19:58:01"
20,10280,13,"2018-08-29 18:36:58"
21,6775,24,"2018-08-31 20:47:51"
22,13066,24,"2018-08-31 20:48:10"
23,9569,22,"2018-08-31 20:48:39"
24,458,22,"2018-08-31 20:48:58"
25,7345,24,"2018-08-31 20:49:13"
