Wed Sep  5 15:00:02 -03 2018
---
"RAM2",172.16.92.254,Ubiquiti,5370;6
"RB1CBis",172.17.66.254,Cambium,5375;4
"PI3Cbb",172.16.185.254,Cambium,5375;52
"PB1",172.31.104.254,Ubiquiti,5375;60
"AC2",172.24.2.254,Ubiquiti,5380;33
"HE4C",172.16.128.254,Cambium,5380;50
"PP4",172.17.24.254,Ubiquiti,5380;8
"SF5.6AC",172.16.205.254,Ubiquiti,5385;43
"AC3bis",172.24.5.254,Ubiquiti,5390;25
"PI2Cbb",172.16.184.254,Cambium,5395;49
"SSiDC2",172.22.2.254,Ubiquiti,5400;21
"BF1",172.30.1.254,Ubiquiti,5400;31
"RB3CBis",172.17.68.254,Cambium,5410;1
"LP4",172.25.4.254,Ubiquiti,5410;21
"SG1bis",172.29.5.254,Ubiquiti,5410;31
"TT3",172.16.153.254,Ubiquiti,5415;23
"MluR1tris",172.28.9.254,Ubiquiti,5415;44
"AP-Hope2",172.16.10.254,Ubiquiti,5420;17
"TF1C",172.16.225.254,Cambium,5420;56
"PI4C",172.16.178.254,Cambium,5420;57
"HQ2AC",172.20.2.254,Ubiquiti,5425;33
"AA3",172.17.133.254,Ubiquiti,5430;2
"TSB1Cbis",172.16.253.254,Cambium,5430;23
"PS1bis",172.17.91.254,Ubiquiti,5430;26
"HW3AC",172.16.103.254,Ubiquiti,5430;43
"SF1.90AC",172.16.20.254,Ubiquiti,5435;44
"TF3Cbis",172.16.230.254,Cambium,5435;46
"SSiVG3",172.23.3.254,Ubiquiti,5440;32
"SF4bis",172.16.202.254,Ubiquiti,5445;43
"SG1bb",172.29.8.254,Ubiquiti,5455;14
"TG4",172.31.4.254,Ubiquiti,5455;18
"HE2Cquad",172.16.133.254,Cambium,5455;23
"Uno",172.18.1.254,Ubiquiti,5455;25
"TT2",172.16.152.254,Ubiquiti,5455;52
"PS1Ctris",172.17.101.254,Cambium,5455;7
"GR2",172.17.116.254,Ubiquiti,5460;15
"YL2AC",172.16.52.254,Ubiquiti,5460;27
"PI3C",172.16.177.254,Cambium,5460;60
"A51-2",172.16.82.254,Ubiquiti,5460;8
"PI1",172.16.171.254,Ubiquiti,5465;29
"PS4Ctris",172.17.104.254,Cambium,5470;35
"AA1C",172.17.141.254,Cambium,5470;6
"HI3",172.17.43.254,Ubiquiti,5475;19
"B3",172.18.3.254,Ubiquiti,5475;20
"alamos",172.19.4.254,Ubiquiti,5480;24
"BF4.5RF",172.30.10.254,Ubiquiti,5485;25
"TF1Cbb",172.16.234.254,Cambium,5485;51
"PI2Cbis",172.16.180.254,Cambium,5490;44
"FMF1",172.26.1.254,Ubiquiti,5500;27
"AC1",172.24.1.254,Ubiquiti,5500;39
"B2AC",172.18.6.254,Ubiquiti,5500;39
"LP4C",172.25.10.254,Cambium,5500;55
"PP3C",172.17.27.254,Cambium,5500;8
